LAS,3Hqpi0UrXh3,-3.4776,62.5875,rteoCRe88,-18.5073,F9FKkLLj
LAS,biuk1BmSya9,1bLdYAI5aF,174.0162,64.9459,OSCE6PUoJiA
LAS,pVkj9AxIjCw,qC9wCxoI0H,67.9363,-28.751,R6RX8wP2Y
LAS,LY1WtwW9mTaSy,5gs4JmCPiA7,53.1752,-41.5618,CiZ1upA4J1k
LAS,3QK9MOA6iF,-38.0064,4.5628,4CiSA5PbvW
LAS,QK8CK2tChU,FCHIl53,-40.2361,64.7518,U6RX8DISu
LAS,oV6uCGX2I,8IkaIbVJmA7E,35.5735,64.5731,oopidvajp2iyA
LAS,e5KYVH0eOw,Zh0UwCRe8,-56.9706,33.5734,wGl1BnBbLjCC
LAS,G8JbNTPiX5s,5u78.2548,88.0071,U1upA4GRRt
LAS,frlgmjBtuM,wcbL1BwGMOA,83.0162,-33.7616,oopidVfChOpV
LAS,Y6pu7rus,5h53SJFJqrN,89.0664,-38.7654,vfCHIl53b
LAS,TNFkVkj7MR,GnC07kI2,-47.8761,65.0017,kZnpCCyjOpK
LAS,QpIwCxqR3,cGcWgMOA7ven,176.7952,-41.5616,GcLbPbevr
LAS,TEGJsULhW,YuzkaIw,50.5862,-46.751,PThHK5PUr
LAS,S1xOyYwIQo,4gbfPThHK7J,86.1371,4RX2061,83.7071,4MRZg2Pr1k
LAS,zp8v2xQVP0m,3.7514,-25.7906,RXqualMz5hQ5
